Date,transprob_1_mean,transprob_2_mean,transprob_3_mean,transprob_4_mean,transprob_5_mean,transprob_6_mean,transprob_7_mean,transprob_8_mean,transprob_9_mean
1980-01-01,0.8937099601085273,0.036701214895389,0.022978307812017814,0.07152610227468789,0.9101048301979192,0.04565294190721258,0.03476393761676899,0.053193954906678054,0.931368750280744
1981-01-01,0.8941228319778117,0.03618822356893494,0.018382267243166158,0.07134309347213603,0.9115353295499832,0.03665411752612569,0.034534074550066116,0.05227644688110793,0.9449636152307278
1982-01-01,0.8944033791994609,0.03660274560272552,0.015241713092920346,0.07111626416978588,0.9104365414878519,0.03172038912463121,0.03448035663076772,0.05296071290946305,0.9530378977824573
1983-01-01,0.9046007112698239,0.04853155772637926,0.014914590130419332,0.06504959063447618,0.9049181167494702,0.0447667878089581,0.030349698095718497,0.046550325524148325,0.9403186220606354
1984-01-01,0.9275733574906199,0.045860495922258805,0.014843168221443154,0.049128665187554384,0.9088052722581401,0.04455048318525984,0.02329797732185504,0.04533423181960785,0.9406063485933155
1985-01-01,0.9454666710236717,0.04663966259809586,0.014790811971199795,0.036763660018372224,0.9073890132775027,0.04452320452441707,0.01776966895793527,0.0459713241243857,0.940685983504322
1986-01-01,0.9549592071568904,0.04566766479156569,0.01475295641979018,0.03018284257863638,0.9088642048469068,0.044404012800334715,0.01485795026448486,0.04546813036155685,0.9408430307798689
1987-01-01,0.9620826172961102,0.04561357121754995,0.014896697631352969,0.025411246177393768,0.9090451661532037,0.044731472758266146,0.012506136526513442,0.04534126262926287,0.9403718296103573
1988-01-01,0.966851282526976,0.04586175369778412,0.014875975868978023,0.022269733376938692,0.9085696369992649,0.04476079083254469,0.01087898409608628,0.04556860930297952,0.9403632332984754
1989-01-01,0.9704780698835107,0.04611596037595459,0.014895071943708425,0.019872485915032184,0.9080548807543378,0.04466937757072205,0.009649444201447177,0.045829158869699245,0.9404355504856036
1990-01-01,0.9725324436985743,0.047566540140625065,0.014885646460254504,0.01884930185597371,0.9062357872713402,0.044741256420609644,0.008618254445464919,0.046197672588070254,0.9403730971191513
1991-01-01,0.9657321907755029,0.0460198872728,0.01462490091450844,0.0260209055872089,0.9115081336365215,0.04399891550610419,0.008246903637258093,0.04247197909064208,0.9413761835793956
1992-01-01,0.9669055739865983,0.05555233588952278,0.014559585709676325,0.025236528625334244,0.9046420367704646,0.04383518122433028,0.007857897388062864,0.03980562734001216,0.9416052330659904
1993-01-01,0.9668885436336327,0.04907838221007398,0.014325461006700008,0.025194792452180186,0.9157587744255302,0.043193977468707026,0.007916663914198634,0.0351628433644048,0.9424805615246037
1994-01-01,0.968767257985377,0.04404737482347652,0.014171407382865639,0.023684344357129895,0.9239162820079742,0.042703976057579196,0.007548397657477766,0.03203634316855478,0.9431246165595619
1995-01-01,0.9710237000430979,0.042540156464026584,0.014141944533904846,0.021920564601204905,0.9262283571651353,0.04258032447841977,0.007055735355741409,0.03123148637084875,0.94327773098766
1996-01-01,0.9728762926263674,0.0419559045489884,0.014125504187465283,0.020546320289201038,0.9273664769987696,0.0423999202879541,0.006577387084438246,0.03067761845226866,0.9434745755245431
1997-01-01,0.9739337139500825,0.04171882263468157,0.014068003893215658,0.019866880569300666,0.9281975186065954,0.04232899454881061,0.0061994054806421015,0.030083658758724548,0.943603001557985
1998-01-01,0.971195160841686,0.04111391727986822,0.013854252201504465,0.02255727435283476,0.9314643180059288,0.04175451610870619,0.006247564805415574,0.027421764714211466,0.9443912316898124
1999-01-01,0.9693768708735945,0.03977670321525549,0.01366534444909448,0.024382799481920375,0.935394575223233,0.041177620955949616,0.006240329644508116,0.024828721561507342,0.9451570345949423
2000-01-01,0.9688588317863974,0.03856589288946305,0.013506438901102374,0.02500646291104613,0.9383850633020661,0.04074399856864959,0.006134705302530962,0.02304904380846044,0.9457495625302531
2001-01-01,0.9719823736308715,0.039569018287120276,0.013575219173412879,0.022457694695314695,0.9363596905494277,0.04103874561842544,0.005559931673827365,0.024071291163478278,0.9453860352081724
2002-01-01,0.97341851688931,0.039063524950598796,0.01355047089459479,0.021299369205687348,0.9375416026283531,0.04085841273458282,0.005282113905031725,0.02339487242104024,0.9455911163708102
2003-01-01,0.9745526669391587,0.03851150157661254,0.013521196923006056,0.02043141205219219,0.9385416427566046,0.04077416688527416,0.00501592100863348,0.022946855666803028,0.9457046361917344
2004-01-01,0.9759265614218714,0.037970307336987974,0.013482643259500786,0.019302822734340978,0.9393645038742866,0.04068677402814054,0.004770615843811999,0.022665188788720796,0.9458305827124021
2005-01-01,0.9771166984183666,0.0379496566807071,0.013510155593752333,0.018367517642753038,0.9394071440438581,0.040667909646870275,0.004515783938910153,0.0226431992754695,0.9458219347593909
2006-01-01,0.9766269653056106,0.03876614051146006,0.013490478815209822,0.01907117861839116,0.9385995716255705,0.04065870297313929,0.004301856076024837,0.022634287862965344,0.9458508182116545
2007-01-01,0.9788505445996232,0.040016224554450044,0.013524403278661792,0.01712631778165955,0.9368986857767189,0.04076148259550973,0.00402313761875042,0.023085089668820835,0.9457141141257827
2008-01-01,0.9778511960551141,0.03999783191453617,0.013478380830038649,0.018286390443564726,0.937073701615722,0.040581367387665775,0.003862413501295917,0.02292846646976262,0.9459402517822963
2009-01-01,0.9744938924973545,0.045250842484837815,0.012924865208547012,0.021554433135506194,0.9336113769430731,0.03911097583309173,0.003951674367148186,0.021137780572061525,0.9479641589583573
