Date,forecast_1_mean,forecast_error_1_mean
1980-01-01,8.314197107262984,-3.5158028164429416
1981-01-01,9.085287431842096,0.6952870885193755
1982-01-01,8.910558372768678,5.20055833462173
1983-01-01,7.015167263423762,2.82516720620327
1984-01-01,6.7888958347015365,3.2588958633118295
1985-01-01,6.810862806079311,2.9208627011753974
1986-01-01,6.751056268469213,5.291056230321934
1987-01-01,6.644698027674,2.5946978369390385
1988-01-01,6.592454140537964,1.9224540642439936
1989-01-01,6.5798666362008715,1.3798668269354832
1990-01-01,6.497672499970504,0.8476724046029356
1991-01-01,5.098125158724256,2.498125254091622
1992-01-01,6.32247815398769,3.0624781635244394
1993-01-01,6.15997115711239,3.639971176186046
1994-01-01,6.0473090105461305,3.247309058229804
1995-01-01,5.987426776652395,3.257426757578832
1996-01-01,5.939307796321545,2.899307834468467
1997-01-01,5.876011363327045,4.306011310875236
1998-01-01,5.713982964125042,4.043983007040123
1999-01-01,5.507743738456217,2.7677437289196614
2000-01-01,5.315224533529497,1.585224514456386
2001-01-01,5.352263798289385,4.212263812594728
2002-01-01,5.3932574340147585,2.793257529382278
2003-01-01,5.296520226841224,3.366520279293226
2004-01-01,5.303492320056333,2.333492291445736
2005-01-01,5.261979522192318,1.2719795126556463
2006-01-01,4.842715602270861,2.762715678564977
2007-01-01,5.288468955449569,1.0084687456410262
2008-01-01,4.563048171917886,4.533048172588445
2009-01-01,5.086344436841612,2.456344322400403
2010-01-01,5.263419312028284,3.6334193167966102
2011-01-01,4.941829035360139,2.011828968602898
2012-01-01,4.763913098672105,3.1739130652935965
2013-01-01,4.732151867885528,3.1521518249700926
2014-01-01,4.315311645149507,4.405311648725792
2015-01-01,4.790558209622845,3.4205582048543866
2016-01-01,3.7555179903733436,1.2555179903733638
2017-01-01,3.745940253585664,1.6759403203428092
