date,forecast_12_mean,forecast_error_12_mean
1979-12-01,8.141018966200031,-4.378981490120183
1980-01-01,8.224911332680058,-3.6050885931199605
1980-02-01,8.307197174279938,-3.102802673559981
1980-03-01,8.397598704639952,-2.0924010645599984
1980-04-01,8.484552289399838,-1.5154477106000013
1980-05-01,8.571897547360026,-1.208102188399974
1980-06-01,8.646704051560127,-0.9032961373600074
1980-07-01,8.710073781240139,-2.04992644704002
1980-08-01,8.770462883800178,-2.0295373003199972
1980-09-01,8.823364830159955,-2.126634976240015
1980-10-01,8.880328738159953,-1.2596716003999844
1980-11-01,8.93264293264014,-0.6573572229599963
1980-12-01,8.985647320520027,0.06564724288000096
1981-01-01,9.023407732399924,0.6334073885599972
1981-02-01,9.055539739600171,1.435539855840023
1981-03-01,9.075434695960155,2.295434490439999
1981-04-01,9.090158513320205,2.5801582799999836
1981-05-01,9.09939911875976,2.4193992906400137
1981-06-01,9.103916849479848,2.043916906920018
1981-07-01,9.130223683479992,2.690223625600043
1981-08-01,9.151936333160025,3.301936427159979
1981-09-01,9.175803906639901,4.135803943480002
1981-10-01,9.183160910559769,4.043161045480034
1981-11-01,9.193191433799841,4.603191281720005
1981-12-01,9.181590293960127,5.351590371879992
1982-01-01,9.152607808840163,5.442607770400029
1982-02-01,8.868798473119769,5.378798462879964
1982-03-01,7.711336705759917,4.111336801640058
1982-04-01,7.437936577120092,3.537936481359997
1982-05-01,7.419666227959917,3.8696662749599873
1982-06-01,7.427600649079989,4.847600722160039
1982-07-01,7.4059236625200375,4.945923624480037
1982-08-01,7.3681272575600145,4.808127314119935
1982-09-01,7.235473421200137,4.375473525759967
1982-10-01,7.125323855519904,4.275323951560007
1982-11-01,6.742804915759874,3.4728049351600183
1982-12-01,6.479079126119934,2.6890791631200535
1983-01-01,6.426803411600054,2.236803352160028
1983-02-01,6.372389635479932,1.7723897282000087
1983-03-01,6.323455349239874,1.5234551570000063
1983-04-01,6.286999533960091,1.7269995924800055
1983-05-01,6.239655257280024,2.009655238560048
1983-06-01,6.17464707043993,1.9546472844399703
1983-07-01,6.114288141640024,1.9142883304799778
1983-08-01,6.062934221519977,1.7729342588800303
1983-09-01,6.008712096080099,1.7387121161999999
1983-10-01,5.957544557600091,1.697544327120039
1983-11-01,5.914608306559997,1.864608115840022
1983-12-01,5.882902886720037,1.9329028364400245
1984-01-01,5.854266721199951,2.3242667498000538
1984-02-01,5.852411273680157,2.3324112924400033
1984-03-01,5.846666882400126,2.1466668342399777
1984-04-01,5.814072212519896,2.124072153960029
1984-05-01,5.781707751639902,2.0117077714400287
1984-06-01,5.758923223360092,1.9989232333600293
1984-07-01,5.737709857799941,2.187709908199972
1984-08-01,5.716095028839694,2.3660951265599732
1984-09-01,5.696653026920069,2.55665292227995
1984-10-01,5.6764213433599835,2.4464213235600085
1984-11-01,5.650890019080009,2.1408900295999542
1984-12-01,5.628886454080014,1.82888650127998
1985-01-01,5.6008592040800895,1.710859101119994
1985-02-01,5.574361253760018,2.464361359240008
1985-03-01,5.55097096911985,3.2909709798401003
1985-04-01,5.5221027130399225,3.932102679800061
1985-05-01,5.502770973240067,4.012770962799995
1985-06-01,5.480417979320038,3.710417998120074
1985-07-01,5.456090016080004,3.876089973640012
1985-08-01,5.429968231840137,3.859968178479972
1985-09-01,5.402926781559914,3.652926781560028
1985-10-01,5.374027683919927,3.904027655399934
1985-11-01,5.35612382039996,4.076123850520038
1985-12-01,5.339229751679917,4.239229728119976
1986-01-01,5.32018388008009,3.8601838409998748
1986-02-01,5.296304805320047,3.19630490011996
1986-03-01,5.26667876235991,2.236678790879992
1986-04-01,5.22810156904003,1.4481015980799614
1986-05-01,5.190376464080047,1.3303765705600048
1986-06-01,5.153733100000005,1.5037330079600069
1986-07-01,5.121884444080028,1.1918843733600364
1986-08-01,5.086291956200095,0.8062917443199888
1986-09-01,5.052203172160019,0.6922030404000002
1986-10-01,5.016555261360088,0.4865550551600058
1986-11-01,4.980286710160038,0.4502864998800052
1986-12-01,4.943585810399952,0.513585979240006
1987-01-01,4.911075288440033,0.8610750985599983
1987-02-01,4.883746116039871,0.9437460600400025
1987-03-01,4.864243232079965,0.9342431674399962
1987-04-01,4.8526299789600165,0.9526298809999837
1987-05-01,4.846240291920108,0.9562401904799964
1987-06-01,4.833039937080008,0.8730399012400115
1987-07-01,4.825893824240092,0.6958937151999871
1987-08-01,4.820347555240031,0.8003475760799812
1987-09-01,4.820012814120132,0.6500127367999933
1987-10-01,4.8209180626000006,0.5709180625999982
1987-11-01,4.817952730120005,0.5679527301200008
1987-12-01,4.813431926319972,0.3934318543199947
1988-01-01,4.797684559040044,0.12768448131999646
1988-02-01,4.789097494039954,-0.04090242908000056
1988-03-01,4.781776964080049,-0.19822305479999705
1988-04-01,4.771380886040026,-0.34861900111999605
1988-05-01,4.766265444039961,-0.5937346857999967
1988-06-01,4.757862373759869,-0.4121377023599939
1988-07-01,4.753278785840034,-0.22672123308000058
1988-08-01,4.74693019287988,0.036930154800000614
1988-09-01,4.741253888160067,0.4012537352399972
1988-10-01,4.739070299600007,0.24907053244000116
1988-11-01,4.733271306600019,0.07327145859999956
1988-12-01,4.734030296559967,0.08403020192000074
1989-01-01,4.740695699839958,-0.45930411059999576
1989-02-01,4.753646998200051,-0.5063532326800014
1989-03-01,4.784886514119937,-0.4451135039599964
1989-04-01,4.850588985760112,0.14058894683999745
1989-05-01,5.114230363559938,0.7542302261200029
1989-06-01,5.279031333319901,0.6090312581600037
1989-07-01,5.2276878957600825,0.40768772712000134
