date,state_1_mean,state_2_mean,state_3_mean
1980-01-01,0,0,1
1980-02-01,0,0,1
1980-03-01,0,0,1
1980-04-01,0,0,1
1980-05-01,0,0,1
1980-06-01,0,0,1
1980-07-01,16000000000000002e-26,24e-11,0.9999999996000001
1980-08-01,32000000000000003e-26,52e-11,0.99999999916
1980-09-01,56e-11,2e-10,0.9999999992400003
1980-10-01,0,24000000000000005e-26,0.99999999976
1980-11-01,48e-11,6e-10,0.9999999989200002
1980-12-01,32000000000000003e-26,14400000000000008e-25,0.9999999982400002
1981-01-01,2760000000000003e-24,3087999999999987e-23,0.9999999663600031
1981-02-01,10840000000000015e-24,1662000000000024e-22,0.9999998225600152
1981-03-01,17004000000000318e-23,6962080000000405e-21,0.999992839520206
1981-04-01,8116400000000572e-22,4441775999995642e-20,0.999954629040299
1981-05-01,17079600000002115e-22,0.00010318583999989337,0.9998948806801968
1981-06-01,34852799999993285e-22,0.00023856184000016058,0.9997576467200185
1981-07-01,7247999999999899e-23,18932800000002707e-22,0.9999980252401007
1981-08-01,6639999999999918e-23,19118400000002383e-22,0.9999980146000952
1981-09-01,3887999999999962e-23,8207200000000582e-22,0.9999991364800638
1981-10-01,512999999999997e-21,22776799999991904e-21,0.999976599680314
1981-11-01,30783999999995456e-22,0.0001854548400000763,0.9998111572800473
1981-12-01,2765707999998667e-20,0.0022849152000002943,0.9976869923599653
1982-01-01,0.00014353547999996057,0.014791605280002389,0.9850645566000209
1982-02-01,0.0014197709600001084,0.1668727966399982,0.8317073881599972
1982-03-01,0.00596378540000095,0.8313516129600086,0.16268460992000078
1982-04-01,0.006004066640001242,0.9854848366000144,0.008511090200001572
1982-05-01,0.004245499400000614,0.9936087888400174,0.0021457048000003845
1982-06-01,0.002519747000000332,0.9940384609200488,0.00344177276000056
1982-07-01,0.005773464600000976,0.9929823548000128,0.0012441801200002566
1982-08-01,0.018841543040001484,0.9804350059200021,0.0007234580400001491
1982-09-01,0.13842933959999645,0.8609481877200176,0.0006224712800002054
1982-10-01,0.24740989112000178,0.7521198105199769,0.00047030652000013906
1982-11-01,0.7021236178799874,0.29763244684000517,0.00024385856000013031
1982-12-01,0.9893602101199529,0.010612455920001542,268245199999793e-19
1983-01-01,0.9992288559999504,0.0007581173600004732,124036000000097e-19
1983-02-01,0.9997451751999538,0.00024537144000013743,8816920000003527e-21
1983-03-01,0.9996581027999198,0.0003313068000001947,9971880000006048e-21
1983-04-01,0.9991426754399458,0.0008415222800002873,15242480000013555e-21
1983-05-01,0.999709939399899,0.0002806669600001537,8774280000003766e-21
1983-06-01,0.9999800940404546,16001480000010054e-21,34654799999988315e-22
1983-07-01,0.9999854183604411,11116480000005554e-21,30957199999992017e-22
1983-08-01,0.9999827518804693,13851200000008574e-21,2960119999999315e-21
1983-09-01,0.9999641637603889,3175443999997501e-20,3476959999998627e-21
1983-10-01,0.9999656505204066,3043319999997613e-20,33155599999987682e-22
1983-11-01,0.9998852895599437,0.00010893051999988318,5099759999999523e-21
1983-12-01,0.9994008445598999,0.0005869467600001884,11618400000009397e-21
1984-01-01,0.9977516232000203,0.0022222850000003765,2567351999998169e-20
1984-02-01,0.9909363574800175,0.008997621400001434,6580475999991858e-20
1984-03-01,0.980747408840001,0.019145814520000973,0.00010664903999988315
1984-04-01,0.99011947907999,0.009823829800002138,564458399999248e-19
1984-05-01,0.9973279327200198,0.002646554560000416,2509511999998285e-20
1984-06-01,0.9978935884800161,0.0020825447200002976,234180399999871e-19
1984-07-01,0.9981475334400172,0.0018301911600003104,21821479999991384e-21
1984-08-01,0.9975977834400311,0.0023761252000004188,25675879999982034e-21
1984-09-01,0.9977971814800275,0.0021782847600003226,24098279999985537e-21
1984-10-01,0.9979476045600091,0.002029180360000307,2276531999998782e-20
1984-11-01,0.999028860319987,0.0009562087600002257,1436736000001398e-20
1984-12-01,0.9993447508399395,0.0006430482000001871,11612720000009832e-21
1985-01-01,0.9998337591598102,0.0001599511200000055,5594959999999985e-21
1985-02-01,0.9998453951598129,0.00014846435999997046,5444719999999732e-21
1985-03-01,0.9997348779998035,0.0002574312000000897,7045880000001553e-21
1985-04-01,0.9997480314397977,0.00024462172000008477,6710400000001226e-21
1985-05-01,0.9996824276398354,0.0003093937200001251,75224000000018704e-22
1985-06-01,0.9996980554798112,0.00029404372000010404,72556400000016245e-22
1985-07-01,0.9998471332797916,0.00014711575999996662,5046879999999316e-21
1985-08-01,0.9999178901199947,7754187999990141e-20,3847359999998009e-21
1985-09-01,0.9999550073602747,41162999999948865e-21,31191599999989203e-22
1985-10-01,0.9999439949201614,52065679999929903e-21,3238159999998706e-21
1985-11-01,0.9998751810798238,0.0001196743599998902,4431439999998437e-21
1985-12-01,0.9996880706798095,0.0003042370400001067,7036400000001448e-21
1986-01-01,0.9995825172798879,0.00040866844000012336,8188160000002686e-21
1986-02-01,0.9999606020803603,35938079999959464e-21,27655199999994335e-22
1986-03-01,0.9999919898404134,4789199999999383e-21,29504399999992953e-22
1986-04-01,0.9999929923602736,14468400000001555e-22,5466239999999957e-21
1986-05-01,0.9999950560402264,7649200000000438e-22,4117119999998871e-21
1986-06-01,0.999996865920231,8408800000000832e-22,2219720000000176e-21
1986-07-01,0.9999974552001925,4856399999999914e-22,20197200000003846e-22
1986-08-01,0.9999979707601755,33604000000000406e-23,1661600000000336e-21
1986-09-01,0.9999982407201816,4755199999999945e-22,12426800000002345e-22
1986-10-01,0.9999986346401308,18788000000000456e-23,11592800000001892e-22
1986-11-01,0.9999988177201099,10043999999999827e-23,1073080000000146e-21
