Date,state_1_mean,state_2_mean,state_3_mean
1980-01-01,0.016752094812568997,0.04989015898700148,0.9333577462003798
1981-01-01,0.02261145372374346,0.050314201268541144,0.9270743450076486
1982-01-01,0.025390401884077294,0.05817317769424807,0.9164364204216753
1983-01-01,0.7961417864040785,0.094402418683995,0.10945579491191702
1984-01-01,0.8043995308566512,0.07289645875168872,0.12270401039167668
1985-01-01,0.8043079760466774,0.05660700800017633,0.13908501595312986
1986-01-01,0.8148019830998559,0.05861624804350653,0.1265817688566484
1987-01-01,0.9178783467122843,0.02671041204445789,0.05541124124323857
1988-01-01,0.9439601180004015,0.021654866770686357,0.034385015228908834
1989-01-01,0.9218400418451431,0.035946757332392124,0.04221320082243734
1990-01-01,0.8865987792322771,0.06808082424648321,0.04532039652119563
1991-01-01,0.10230336988640235,0.7298936959956713,0.16780293411792516
1992-01-01,0.9123513869355502,0.04476729019469236,0.04288132286975633
1993-01-01,0.9323325038892064,0.02794208318092957,0.039725412929867095
1994-01-01,0.8849803257469905,0.033063326816577414,0.08195634743645078
1995-01-01,0.9216059181481979,0.03227931378360874,0.0461147680681774
1996-01-01,0.8882081059809324,0.02824366960052984,0.083548224418526
1997-01-01,0.8672435834455449,0.04730287587864751,0.08545354067580536
1998-01-01,0.05013253854810344,0.8328339277581233,0.1170335336937659
1999-01-01,0.0509187722061906,0.8629858267889075,0.08609540100491163
2000-01-01,0.0658796835151697,0.8158190752270268,0.1183012412578089
2001-01-01,0.07950470766395085,0.8170621886649355,0.10343310367108136
2002-01-01,0.04828449186196779,0.8561024062646859,0.09561310187334002
2003-01-01,0.054734884345960494,0.8615417716181835,0.08372334403581182
2004-01-01,0.0495892903212593,0.8417918141760442,0.1086188955026788
2005-01-01,0.05516989441769325,0.8103247900524018,0.13450531552989328
2006-01-01,0.2853159652985248,0.5449556763906118,0.16972835831083094
2007-01-01,0.03796340599166657,0.9044884480100226,0.057548145998327555
2008-01-01,0.41606498350681864,0.5224577855219882,0.06147723097118839
2009-01-01,0.03904347818547119,0.8644460841878243,0.09651043762667622
2010-01-01,0.062363607634947006,0.41919297976359493,0.518443412601451
2011-01-01,0.05302570999043846,0.5009601004432169,0.44601418956635125
2012-01-01,0.1305386738369414,0.4639665369373732,0.4054947892256683
2013-01-01,0.043397360337668965,0.47096369149378375,0.4856389481685608
2014-01-01,0.0970537003564301,0.3762978920121053,0.5266484076314722
2015-01-01,0.040655218443907536,0.2793719170844373,0.6799728644717323
2016-01-01,0.03492307870458666,0.73502491790697,0.23005200338841403
2017-01-01,0.05438701276116975,0.6274673487969095,0.318145638441893
