Date,forecast_1_mean,forecast_error_1_mean
1980-01-01,8.241673427602521,-3.588326496103505
1981-01-01,8.969001579695588,0.5790012363727401
1982-01-01,9.088809972245087,5.378809934098279
1983-01-01,6.586006692908266,2.396006635687732
1984-01-01,6.153516682541062,2.623516711151161
1985-01-01,5.993857595943115,2.10385749103923
1986-01-01,5.734519475941711,4.274519437794337
1987-01-01,5.0559977879534825,1.005997597218739
1988-01-01,4.872071274681146,0.2020711983871087
1989-01-01,4.880191145226232,-0.3198086640390147
1990-01-01,4.982974431129287,-0.6670256642382419
1991-01-01,6.787206966011057,4.187207061378639
1992-01-01,4.966272799061301,1.706272808598382
1993-01-01,4.763987006408934,2.2439870254825394
1994-01-01,4.785468923443875,1.985468971127716
1995-01-01,4.510294604837861,1.7802945857642065
1996-01-01,4.5640944442057965,1.5240944823528562
1997-01-01,4.533227453823158,2.9632274013709727
1998-01-01,5.960401879528001,4.290401922443146
1999-01-01,5.689746051838065,2.9497460423016912
2000-01-01,5.614570285319678,1.8845702662461148
2001-01-01,5.6033944231382735,4.463394437443358
2002-01-01,5.5871161863858045,2.9871162817531385
2003-01-01,5.489865252044546,3.5598653044966
2004-01-01,5.535333967288862,2.5653339386785055
2005-01-01,5.589961398580905,1.599961389044142
2006-01-01,5.2723656619090855,3.1923657382031836
2007-01-01,5.41511670874613,1.135116498937685
2008-01-01,4.7387825994026525,4.708782600073165
2009-01-01,5.291781467188587,2.661781352747702
2010-01-01,5.873821272235876,4.243821277004123
2011-01-01,5.5709092181242,2.6409091513669436
2012-01-01,5.2641757958704405,3.6741757624920104
2013-01-01,5.408844485376394,3.8288444424609094
2014-01-01,5.038697291733394,5.128697295309756
2015-01-01,5.312453159190438,3.9424531544221466
2016-01-01,4.261008091792395,1.7610080917925925
2017-01-01,4.455319684752983,2.385319751510155
