Date,state_1_mean,state_2_mean,state_3_mean
1980-01-01,0.004769609934165399,0.014329818508742497,0.980900571557487
1981-01-01,0.010020396680093007,0.01300039339559322,0.9769792099243569
1982-01-01,0.09232150119513001,0.030080318421194498,0.8775981803836757
1983-01-01,0.05184323058248426,0.9413194613745515,0.0068373080429710124
1984-01-01,0.3745544747034314,0.5944597744670308,0.030985750829551666
1985-01-01,0.6383024982258747,0.3490857151266544,0.012611786647464984
1986-01-01,0.05115473821414885,0.9415119407845943,0.007333321001263916
1987-01-01,0.03378823961950028,0.9621576566899835,0.004054103690496671
1988-01-01,0.9175269389528635,0.06254728191399016,0.01992577913315375
1989-01-01,0.893309329706913,0.037999761093502595,0.0686909091996211
1990-01-01,0.8927955714936511,0.013544191189491598,0.09366023731682545
1991-01-01,0.15794587744964594,0.021971706686583586,0.8200824158638017
1992-01-01,0.7297936108972493,0.2581079237124518,0.012098465390303521
1993-01-01,0.9183933480912018,0.06230661479138669,0.01930003711739937
1994-01-01,0.9227674644100751,0.04921035862321504,0.028022176966700757
1995-01-01,0.9382654157561438,0.026369238079143247,0.035365346164727154
1996-01-01,0.8812047056760499,0.020124520470528318,0.09867077385342478
1997-01-01,0.06437170938412881,0.013298874723988989,0.9223294158918897
1998-01-01,0.865813125682929,0.02268171856829528,0.1115051557488042
1999-01-01,0.9528905862682175,0.01698647534589384,0.03012293838589435
2000-01-01,0.46143484268463125,0.006318931193465471,0.5322462261219033
2001-01-01,0.04436403036940526,0.02522830136685067,0.9304076682637556
2002-01-01,0.923202960069388,0.025309494142447816,0.05148754578815222
2003-01-01,0.7550235074523818,0.02165280107909619,0.22332369146855868
2004-01-01,0.944927519395576,0.01424004466908916,0.04083243593530588
2005-01-01,0.06211961916387204,0.09275021001361715,0.8451301708225067
2006-01-01,0.031701590571425825,0.13654306382278278,0.8317553456057717
2007-01-01,0.03834023784587814,0.6829449841369782,0.2787147780171619
2008-01-01,0.007878922268414221,0.8094515623886326,0.18266951534294226
2009-01-01,0.898046763517475,0.0774168560134325,0.024536380469092907
2010-01-01,0.14447481678117696,0.7300962034522769,0.1254289797665745
2011-01-01,0.6779680275644581,0.2616489095773029,0.060383062858222265
2012-01-01,0.023551293333526624,0.7888491167283743,0.18759958993809106
2013-01-01,0.05962954031528275,0.7127499534652866,0.2276205062194777
2014-01-01,0.23174499702051093,0.5101411074201297,0.25811389555937286
2015-01-01,0.7728488709860086,0.138232875072019,0.08891825394197665
2016-01-01,0.8449738138807921,0.10734148952803874,0.04768469659114687
2017-01-01,0.09697812334098606,0.2497994277790903,0.6532224488799138
