Date,forecast_1_mean,forecast_error_1_mean
1980-01-01,6.858545025179386,-4.971454898526901
1981-01-01,8.99483484642828,0.6048345031055881
1982-01-01,9.027572630042373,5.317572591895202
1983-01-01,7.113605429134315,2.923605371913855
1984-01-01,6.960223948325084,3.43022397693547
1985-01-01,6.872854517776181,2.982854412872214
1986-01-01,6.9042921704883335,5.444292132341197
1987-01-01,6.6573735602147,2.607373369479781
1988-01-01,6.688775890132487,2.0187758138387344
1989-01-01,6.62676371125245,1.4267639019872975
1990-01-01,6.59351343725853,0.9435133418910513
1991-01-01,5.46821958242539,2.868219677793123
1992-01-01,6.350339110456829,3.090339119993311
1993-01-01,6.323963667706206,3.8039636867796567
1994-01-01,6.110003817018891,3.3100038647029018
1995-01-01,6.0508277662417,3.320827747168116
1996-01-01,6.005895159632155,2.9658951977792936
1997-01-01,5.944289574683958,4.374289522231688
1998-01-01,5.800231156993979,4.130231199909621
1999-01-01,5.573741243916004,2.8337412343793593
2000-01-01,5.4567878570192825,1.7267878379455543
2001-01-01,5.521162046332673,4.381162060637952
2002-01-01,5.520982423126057,2.920982518493318
2003-01-01,5.433099059268272,3.503099111720533
2004-01-01,5.3899942376826395,2.4199942090724247
2005-01-01,5.384473491051595,1.3944734815149449
2006-01-01,5.006783662243421,2.9267837385373556
2007-01-01,5.364649439033627,1.0846492292252152
2008-01-01,4.691324175759613,4.661324176430141
2009-01-01,5.169623023714061,2.5396229092733607
2010-01-01,5.750273335482295,4.120273340250444
2011-01-01,5.391667837696832,2.4616677709396706
2012-01-01,5.272755362820426,3.6827553294417235
2013-01-01,5.285359307749095,3.705359264833776
2014-01-01,4.841440972742656,4.931440976318943
2015-01-01,5.178930656343418,3.8089306515750234
2016-01-01,4.102972999930141,1.60297299993008
2017-01-01,4.1307900331582355,2.0607900999153386
