Date,transprob_1_mean,transprob_2_mean,transprob_3_mean,transprob_4_mean,transprob_5_mean,transprob_6_mean,transprob_7_mean,transprob_8_mean,transprob_9_mean
1980-01-01,0.8934646830236982,0.03733725565148683,0.0436685326880934,0.07188916901575881,0.9098210809619699,0.04828756151481278,0.034646147960540156,0.05284166338653513,0.908043905797087
1981-01-01,0.8939064696275497,0.03619189521607316,0.018514213397618464,0.0714662447130338,0.911484640122369,0.0372433823291335,0.03462728565938406,0.05232346466153234,0.94424240427326
1982-01-01,0.894625942222732,0.03663447067658111,0.015406910782280469,0.0710339234805888,0.9103770115653672,0.03133302335247493,0.03434013429662065,0.05298851775806525,0.9532600658652568
1983-01-01,0.9024520507139511,0.049035116844742384,0.014920848786022452,0.06567653681596392,0.9042997961027779,0.04472762235844019,0.03187141247008365,0.04666508705248711,0.9403515288555806
1984-01-01,0.9231771286599326,0.04750918523836143,0.014828708909510945,0.053272245385908364,0.9060040491709417,0.04460249464492621,0.023550625954124424,0.04648676559069835,0.9405687964455621
1985-01-01,0.9052173386214849,0.04350729743092842,0.01437987140377904,0.07122588784916155,0.9165206233707002,0.043308863769321734,0.0235567735293151,0.039972079198388535,0.9423112648268852
1986-01-01,0.9355369147477978,0.059954607835278305,0.014658605691831758,0.048022813485704884,0.8949447748069558,0.044045013404809714,0.016440271766484393,0.04510061735779847,0.9412963809033441
1987-01-01,0.9405609670018777,0.05429443737964282,0.014528585209789552,0.04448687582833586,0.9053072750629242,0.043677330545289286,0.014952157169807119,0.04039828755742792,0.9417940842449317
1988-01-01,0.929388876316286,0.0501551096405155,0.014168629816955507,0.05666358457783963,0.9123150945672507,0.042567300601390204,0.013947539105835668,0.037529795792222334,0.943264069581648
1989-01-01,0.93019072208849,0.0446218977922286,0.01384365225957793,0.05600044159995282,0.9212657900739784,0.041680378633823977,0.013808836311583866,0.034112312133788916,0.9444759691065749
1990-01-01,0.9331277042464489,0.03937898841235991,0.014336022765575565,0.05364589304173179,0.93040516987167,0.04301337143888378,0.013226402711821766,0.03021584171593491,0.9426506057955468
1991-01-01,0.9364420160790244,0.03686752107459379,0.013674169647807056,0.05075650826869575,0.9260062532893307,0.04140507802574378,0.01280147565226769,0.03712622563606987,0.9449207523264475
1992-01-01,0.9378335367967617,0.03493068576832756,0.013738169112828765,0.04952810987444459,0.9322810879422266,0.05264039919706237,0.01263835332877272,0.03278822628946651,0.9336214316900999
1993-01-01,0.9313945038779348,0.03052657751741751,0.013126310523525022,0.054978351929212285,0.939249909329423,0.05211275481587098,0.013627144192862432,0.030223513153176448,0.9347609346606017
1994-01-01,0.9297132955973195,0.028152145027599298,0.012724168512906187,0.05634681632337737,0.9436826675981717,0.050951823573100304,0.013939888079288818,0.028165187374205744,0.9363240079139928
1995-01-01,0.9300190294046847,0.026139837623203526,0.01245724814384776,0.05607680993508137,0.947321383543397,0.0500583645302883,0.013904160660205602,0.02653877883338412,0.9374843873258736
1996-01-01,0.9311088752968962,0.024220272888749728,0.01268786857175358,0.05522285805902719,0.950582610324858,0.050825758410407394,0.013668266644058269,0.025197116786368438,0.9364863730178505
1997-01-01,0.9313326933285492,0.023837747866273885,0.011410593499751672,0.05503250859517286,0.9465621760139448,0.04575916949238084,0.013634798076263534,0.029600076119780275,0.9428302370078702
1998-01-01,0.9573904866473888,0.03478950793845553,0.015231914632812746,0.03527450277202045,0.939339835827609,0.04763489497145984,0.007335010580573957,0.025870656233955073,0.9371331903957215
1999-01-01,0.9634366867765294,0.03334427829155478,0.016299056420062942,0.030505179302590044,0.9427792278515676,0.04910501283166885,0.006058133920869791,0.02387649385687945,0.9345959307482814
2000-01-01,0.964364154552506,0.030850536079618966,0.016265303214253235,0.02970903404443458,0.943061517656509,0.04914810712265133,0.005926811403069356,0.026087946263807928,0.9345865896631183
2001-01-01,0.9639966947106902,0.031585808764626085,0.013074185588331717,0.030012897047981938,0.9379897504962544,0.0391441069292847,0.005990408241325001,0.030424440739113698,0.9477817074823862
2002-01-01,0.9643130277629787,0.0312437857029197,0.011532075331673433,0.02974579780307374,0.9380620686762712,0.04597177738170728,0.005941174433976248,0.030694145620822712,0.9424961472865847
2003-01-01,0.9650195493344182,0.028668522853083963,0.011692298322264563,0.029146889275000698,0.9417377375692315,0.0470765159902037,0.005833561390555015,0.029593739577677358,0.9412311856874781
2004-01-01,0.9660767740132055,0.026450569280327928,0.012217945623946392,0.028295133112787724,0.9464791979392736,0.05017936817946143,0.0056280928740466574,0.027070232780402194,0.9376026861965955
2005-01-01,0.9658309155138277,0.026061948631933573,0.0119489343134851,0.028471276890979134,0.9408942797638064,0.04555928362916556,0.005697807595184232,0.03304377160429172,0.9424917820573572
2006-01-01,0.9661229171432966,0.02614300181181867,0.011021500066004133,0.028261579852003216,0.9407296843022397,0.04013903677472034,0.005615503004689995,0.0331273138859527,0.9488394631593139
2007-01-01,0.9659721162951029,0.026165064771194575,0.009618578971828044,0.028376296023155907,0.94062030562211,0.03594919198894336,0.005651587681762411,0.033214629606721356,0.9544322290392295
2008-01-01,0.9660038407907133,0.02611584733126738,0.008595942716366513,0.028346836739293026,0.9409746059075362,0.03241808672057164,0.005649322469973337,0.03290954676119163,0.9589859705630422
2009-01-01,0.9663366196847638,0.026068811391616906,0.007295168517039432,0.028095932929311902,0.9412515940032551,0.036184682847669035,0.005567447385915905,0.032679594605104126,0.9565201486352838
2010-01-01,0.9627689882238994,0.02914267679299291,0.007556567692632529,0.031027429749528754,0.9349341199029035,0.036966045732380104,0.0062035820265398485,0.03592320330411548,0.9554773865749384
