date,signalid,forecast_12_mean,forecast_error_12_mean,signal_1_mean,signal_2_mean
1980-01-01,1,9.42849090795994,-2.4015090155999457,12.408199999956814,11.535709999975344
1980-01-01,2,9.97356529491997,-1.8564346295999863,16.67446999997452,14.93601999993719
1980-01-01,3,9.60881615368007,-2.2211837672400216,11.448780000041719,18.20591000001744
1980-01-01,4,9.878618255040061,-1.9513816687599947,14.889289999951286,16.231660000041433
1980-01-01,5,9.28904138420018,-2.5409585374799817,11.65195999996216,14.674899999985193
1980-01-01,6,9.100549407560079,-2.729450514440024,15.221119999917615,13.82714000005029
1980-01-01,7,8.92382451359997,-2.9061754091199767,11.234929999967795,14.644319999969689
1980-01-01,8,9.022456858519927,-2.8075430640399768,10.805490000026596,17.57261000005982
1980-01-01,9,9.108037325120081,-2.7219625970399375,15.772419999935456,12.169069999959301
1980-01-01,10,9.629467729000252,-2.200532196120011,12.181909999962349,13.722779999961137
1980-01-01,11,8.875049158399971,-2.9549507690399843,13.00157999995367,15.781390000040345
1980-01-01,12,9.584308152600121,-2.245691772520039,13.130109999940949,8.244489999967586
1980-01-01,13,9.738171025559982,-2.091828897039958,16.31704000008105,13.78251999992653
1980-01-01,14,9.42042535583995,-2.409574565840012,10.45923000000383,17.808989999918982
1980-01-01,15,9.999120984439841,-1.8308789407999688,18.295280000093474,16.48107000009563
1980-01-01,16,9.494630698640067,-2.3353692252400036,6.14247000001526,13.305949999959562
1980-01-01,17,8.953373148240322,-2.8766267744400142,15.96095000009078,16.997709999905474
1980-01-01,18,9.235302409040075,-2.5946975144799507,17.665260000065942,13.098509999953224
1980-01-01,19,9.690500388799952,-2.139499533320009,11.022520000070749,15.624749999965346
1980-01-01,20,9.342794467279896,-2.4872054565600132,12.005150000060363,12.474909999991407
1980-01-01,21,10.19455769624006,-1.6354422279599943,15.451520000023935,14.8643000000141
1980-01-01,22,9.671305638240149,-2.1586942836800302,18.053700000041264,11.333449999965909
1980-01-01,23,9.39485088504,-2.43514903987995,12.818010000037383,12.9375
1980-01-01,24,9.296006244080013,-2.533993678239995,12.561939999957811,14.805960000024934
1980-01-01,25,9.197224364159966,-2.632775558439999,12.060599999975592,12.439580000005517
1980-01-01,26,9.465226039480186,-2.3647738808799845,14.859790000033072,16.626939999959497
1980-01-01,27,9.083614946120004,-2.7463849789200703,13.297720000030749,8.256409999962504
1980-01-01,28,9.076321516640228,-2.7536784047199756,17.118429999907264,13.503529999979843
1980-01-01,29,9.531771594679975,-2.2982283264800283,11.091450000016534,13.803189999924825
1980-01-01,30,9.095807745120114,-2.734192180039978,18.69009000003153,14.53847000002651
1980-01-01,31,9.757491135440164,-2.072508789119996,12.580750000049616,16.49230000003573
1980-01-01,32,8.906776077719977,-2.9232238452399213,11.169929999991886,14.434009999974485
1980-01-01,33,9.25640864315978,-2.5735912801599308,10.567119999971187,13.773380000035681
1980-01-01,34,9.057390335439706,-2.772609588359962,13.267719999923816,15.512430000024457
1980-01-01,35,9.248080254840147,-2.581919670040013,11.779149999974797,10.687859999958503
1980-01-01,36,9.211886676239827,-2.6181132454000076,11.605399999935836,12.284689999997582
1980-01-01,37,9.86701279959976,-1.9629871238800052,17.395490000022768,15.862920000096175
1980-01-01,38,9.872456121840129,-1.957543799199996,13.966589999962379,15.02932999993791
1980-01-01,39,9.564459688839817,-2.2655402331599857,11.828569999936656,11.588059999982143
1980-01-01,40,9.243706412720035,-2.5862935107600324,17.97279000002721,14.52487999995127
1980-01-01,41,9.221478658680004,-2.608521263599989,17.60030000004257,16.444490000049097
1980-01-01,42,8.798667096120015,-3.0313328270000177,8.841470000036692,14.992509999907917
1980-01-01,43,9.096406197879935,-2.733593725400035,10.55649000001115,14.253570000046922
1980-01-01,44,9.597970578359918,-2.232029341559982,10.773140000009304,17.266199999974372
1980-01-01,45,9.234478022800053,-2.5955219008000303,13.632230000069464,14.589920000064392
1980-01-01,46,9.499877232280037,-2.330122691599993,11.552099999974327,14.078929999954296
1980-01-01,47,9.044242829360185,-2.785757098160065,10.815779999976415,9.135849999992077
1980-01-01,48,9.152416389239992,-2.6775835353599673,12.943219999931864,18.059700000074088
1980-01-01,49,8.932758576400065,-2.8972413495200318,12.747130000025265,16.00844000000497
1980-01-01,50,9.353618448079871,-2.476381479999984,11.125740000036462,10.799930000033486
1980-01-01,51,9.069948183759973,-2.760051739719927,14.674939999947332,17.327479999994534
1980-01-01,52,9.826639263040112,-2.0033606611999915,11.799889999946389,12.081950000019553
1980-01-01,53,8.92296294671995,-2.9070369753200382,11.4336500000187,14.582140000045747
1980-01-01,54,9.500124197520098,-2.329875724640042,8.769799999947697,12.681340000010513
1980-01-01,55,9.618260159480041,-2.211739762199972,14.455649999933815,14.710500000036918
1980-01-01,56,8.87400232360014,-2.9559975979599535,11.730370000004639,13.751680000078014
1980-01-01,57,9.378933911800035,-2.4510660098799977,11.206209999977414,11.662330000036523
1980-01-01,58,9.156374247800004,-2.673625672480031,10.773130000058638,14.197209999930449
1980-01-01,59,9.272922096319896,-2.5570778278399957,16.62821000011077,18.074109999982714
1980-01-01,60,9.736707091959865,-2.093292828239982,14.028739999981495,19.384010000073783
1980-01-01,61,9.881571549200089,-1.94842837444002,10.39252999998928,13.507790000042329
1980-01-01,62,9.46272959279989,-2.3672703311200105,7.503169999975606,16.408629999967655
1980-01-01,63,9.25582434015994,-2.5741755828000197,13.436919999919475,13.55568999995034
1980-01-01,64,8.754630094839959,-3.0753698251200374,10.81216999998544,10.977779999983468
