date,trans_1_1_mean,trans_1_2_mean,trans_1_3_mean,trans_2_1_mean,trans_2_2_mean,trans_2_3_mean,trans_3_1_mean,trans_3_2_mean,trans_3_3_mean
1979-12-01,0.8698076810000003,0.15640633400000023,0.06034810200000012,0.07619472099999998,0.6512174760000019,0.09980244499999989,0.05399760200000009,0.1923761860000001,0.839849455999999
1980-01-01,0.8562068760000023,0.19548708399999942,0.075267866,0.08082917100000021,0.5754688680000001,0.10375872900000009,0.06296393999999979,0.22904399099999995,0.8209734230000024
1980-02-01,0.8619085340000029,0.1836068389999998,0.07951228700000033,0.07716451199999991,0.5837184219999983,0.11405088299999994,0.06092695799999995,0.23267473500000055,0.806436819000001
1980-03-01,0.8553086049999982,0.1906398750000005,0.07530851100000031,0.07933291100000002,0.5764746259999983,0.10507161799999964,0.06535846299999991,0.23288545599999902,0.8196198949999998
1980-04-01,0.8601752779999974,0.19071740400000028,0.07977657100000016,0.07513826600000015,0.5756746859999989,0.11129932699999988,0.06468649399999984,0.2336078810000001,0.8089240780000017
1980-05-01,0.8612492339999984,0.19523751399999997,0.07802205700000006,0.0742729620000002,0.5594198759999981,0.11071572299999996,0.06447783400000008,0.2453425860000011,0.8112622540000017
1980-06-01,0.8768072999999998,0.17756207699999976,0.07550110299999996,0.06665164199999994,0.5820544300000026,0.11485085799999983,0.05654098400000014,0.24038344799999944,0.809648023
1980-07-01,0.8764937330000013,0.18554429000000025,0.07123966799999977,0.06731045799999996,0.575046654999998,0.10879863600000021,0.05619590200000015,0.23940900799999912,0.8199617449999989
1980-08-01,0.8667137760000027,0.1778033919999998,0.06645761100000014,0.07360046899999963,0.5893574030000003,0.09349057800000019,0.05968571599999996,0.2328391590000002,0.8400517309999997
1980-09-01,0.873735084999999,0.1857261639999999,0.06497084999999977,0.07047125700000036,0.569598158000001,0.0996884659999998,0.05579368700000006,0.24467564400000041,0.8353406310000008
1980-10-01,0.8710104819999993,0.19056706900000023,0.06351614100000007,0.07131362199999998,0.5644330149999982,0.09389606000000018,0.05767596799999982,0.24499995699999996,0.8425877500000001
1980-11-01,0.8748162170000007,0.18850773300000004,0.06223461299999964,0.069175309,0.5797962099999979,0.08902185100000003,0.05600853000000022,0.23169609499999974,0.8487435649999978
1980-12-01,0.8769890459999957,0.19036751199999985,0.06115043500000002,0.06761154700000004,0.5701450779999997,0.08556894700000027,0.05539945700000003,0.23948738500000008,0.8532806130000016
1981-01-01,0.8721537150000027,0.1949949439999995,0.060294244000000025,0.07087974900000056,0.5489977969999997,0.08617671599999999,0.056966466999999826,0.25600729699999986,0.853529061999998
1981-02-01,0.882588817999998,0.18638144399999984,0.05534136200000013,0.06603620099999993,0.5756286000000012,0.08381909999999933,0.051374985000000026,0.23798999900000004,0.8608395670000003
1981-03-01,0.8679830819999957,0.17683410200000013,0.05127851200000008,0.07568301100000008,0.6090696609999975,0.07188194400000021,0.056333893000000135,0.21409625899999937,0.8768395489999988
1981-04-01,0.8792270610000013,0.18645246800000012,0.05316487099999973,0.0667476459999998,0.5726207089999992,0.07954698799999982,0.05402531600000019,0.24092680999999952,0.8672881230000001
1981-05-01,0.8832095079999986,0.18465186100000025,0.050683755000000115,0.06878315799999982,0.5769026029999997,0.08198655999999996,0.04800741599999999,0.23844547699999952,0.8673297220000042
1981-06-01,0.885789081000005,0.1807362200000003,0.049454248999999936,0.06453214299999979,0.5833494469999979,0.07950968700000006,0.04967873999999989,0.23591431500000062,0.8710360629999985
1981-07-01,0.881461934999999,0.1896131389999998,0.055865831999999886,0.06668870300000021,0.5631183659999989,0.08199967800000002,0.05184931499999996,0.24726849500000062,0.8621345160000005
1981-08-01,0.875367724999998,0.19988804700000026,0.057873252999999875,0.06939955900000008,0.5577366200000019,0.08300497300000019,0.05523274200000001,0.24237531399999943,0.8591218109999988
1981-09-01,0.8791584509999999,0.19286957200000046,0.05142633699999997,0.06823903400000003,0.5620868830000004,0.07956919200000026,0.0526024289999999,0.2450435759999994,0.8690044740000007
1981-10-01,0.885470986000001,0.18983083200000023,0.05300885000000001,0.06440509400000015,0.56646782,0.08076371699999998,0.0501239589999999,0.24370139400000027,0.8662273909999986
1981-11-01,0.873346577000003,0.18790571100000023,0.05432176900000002,0.07106686399999973,0.5745532370000015,0.07663313400000016,0.05558659199999994,0.23754100799999925,0.8690450169999981
1981-12-01,0.8809746009999985,0.17757940199999972,0.04946625000000007,0.0684170850000002,0.5994130479999974,0.07574315499999981,0.050608241000000054,0.2230075560000006,0.8747905839999969
1982-01-01,0.876861589999995,0.19983809999999863,0.053440551,0.06725682099999998,0.5557095159999993,0.08309592100000009,0.055881599999999934,0.24445230599999973,0.8634634149999995
1982-02-01,0.8844053210000007,0.17725459999999998,0.0466895379999999,0.06571218199999998,0.6026702629999992,0.0805046000000001,0.04988248599999972,0.220075107,0.8728058539999958
1982-03-01,0.8900485499999989,0.16944420900000076,0.04503486799999991,0.06498507599999992,0.6230748129999992,0.07745992100000018,0.04496644199999997,0.20748089999999997,0.8775051659999995
1982-04-01,0.8921073210000008,0.15447147699999936,0.04178853100000015,0.06585440000000048,0.655742736999997,0.07228417799999994,0.04203819700000005,0.18978579700000056,0.8859272910000009
1982-05-01,0.884931865999999,0.15283464300000102,0.041320728999999994,0.06982331900000006,0.6715651359999998,0.07488718199999962,0.045244722000000126,0.17560023900000027,0.8837920349999983
1982-06-01,0.8834639629999997,0.15773336999999996,0.042364873,0.06934855099999984,0.6603172959999951,0.07094644100000033,0.04718745100000011,0.1819492069999997,0.8866886980000037
