offic_cpi,alter_cpi,offic_inf,alter_inf,date,,
236.119,1077.229,-0.07,7.51,03/01/15,,-0.073637391
236.599,1080.406,-0.2,7.38,04/01/15,,-0.199517446
237.805,1087.511,-0.04,7.55,05/01/15,,-0.039932745
238.638,1105.663,0.12,7.72,06/01/15,,0.123771204
238.654,1111.735,0.17,7.77,07/01/15,,0.16956978
238.316,1113.25,0.2,7.8,08/01/15,,0.195079293
237.945,1114.461,-0.04,7.55,09/01/15,,-0.036129748
237.838,1118.016,0.17,7.77,10/01/15,,0.170574436
237.336,1117.652,0.5,8.12,11/01/15,,0.501797579
236.525,1126.635,0.73,8.36,12/01/15,,0.729519786
236.916,1137.189,1.37,9.02,01/01/16,,1.373086814
237.111,1157.899,1.02,8.67,02/01/16,,1.01779978
238.132,1168.764,0.85,8.5,03/01/16,,0.852536221
239.261,1175.375,1.13,8.79,04/01/16,,1.125110419
240.229,1181.872,1.02,8.68,05/01/16,,1.019322554
241.018,1201.334,1,8.65,06/01/16,,0.997326495
240.628,1205.897,0.83,8.47,07/01/16,,0.82713887
240.849,1210.322,1.06,8.72,08/01/16,,1.062874503
241.428,1216.486,1.46,9.15,09/01/16,,1.463783647
241.729,1222.439,1.64,9.34,10/01/16,,1.635987521
241.353,1222.72,1.69,9.4,11/01/16,,1.692537163
241.432,1237.179,2.07,9.81,12/01/16,,2.074622133
242.839,1253.972,2.5,10.27,01/01/17,,2.500042209
243.603,1279.775,2.74,10.53,02/01/17,,2.737958171
243.801,1287.29,2.38,10.14,03/01/17,,2.380612433
244.524,1292.282,2.2,9.95,04/01/17,,2.199689878
244.733,1295.296,1.87,9.6,05/01/17,,1.874877721
244.955,1313.511,1.63,9.34,06/01/17,,1.633487955
244.786,1319.721,1.73,9.44,07/01/17,,1.727978456
245.519,1327.311,1.94,9.67,08/01/17,,1.938974212
246.819,1337.918,2.23,9.98,09/01/17,,2.232963865
246.663,1341.943,2.04,9.78,10/01/17,,2.041128702
246.669,1344.37,2.2,9.95,11/01/17,,2.202582939
246.524,1359.028,2.11,9.85,12/01/17,,2.109082475
247.867,1376.955,2.07,9.81,01/01/18,,2.07050762
248.991,1407.234,2.21,9.96,02/01/18,,2.211795421
249.554,1417.545,2.36,10.12,03/01/18,,2.359711404
250.546,1424.475,2.46,10.23,04/01/18,,2.462743943
251.588,1432.511,2.8,10.59,05/01/18,,2.801011715
251.989,1453.647,2.87,10.67,06/01/18,,2.871547835
252.006,1461.632,2.95,10.75,07/01/18,,2.949515087
252.146,1466.463,2.7,10.48,08/01/18,,2.699180104
252.439,1472.106,2.28,10.03,09/01/18,,2.276972194
252.885,1480.078,2.52,10.29,10/01/18,,2.522469929
252.038,1477.758,2.18,9.92,11/01/18,,2.176601032
251.233,1489.97,1.91,9.63,12/01/18,,1.910158849
251.712,1504.307,1.55,9.25,01/01/19,,1.551235138
252.776,1536.915,1.52,9.22,02/01/19,,1.520135266
254.202,1553.399,1.86,9.58,03/01/19,,1.862522741
