date,forecast,forecasterror,current,future,s1,s2,s3
1980-03-01,6.624562887915277,-3.865436883202885,14.760000228881836,10.489999771118164,5516502491833326e-49,17066717716465566e-51,1
1980-04-01,6.624562887915277,-3.375437112084721,14.729999542236328,10,7329882788113151e-49,2471766355388474e-50,1
1980-05-01,6.624562887915277,-3.155436845055913,14.40999984741211,9.779999732971191,14698649244482012e-48,12139517543095392e-49,1
1980-06-01,6.624562887915277,-2.925437302819585,14.380000114440918,9.550000190734863,19409229476886806e-48,17395953599044616e-49,1
1980-07-01,6.624562887915277,-4.135437340966557,13.130000114440918,10.760000228881836,13044161353032762e-43,25270976857090775e-43,1
1980-08-01,6.624562887915277,-4.175437302819584,12.869999885559082,10.800000190734863,1175610300698602e-41,3979380939822528e-41,1
1980-09-01,6.624562887915277,-4.325436921349858,12.600000381469727,10.949999809265137,11069949109532632e-41,6498204475589331e-40,1
1980-10-01,6.624562887915277,-3.5154374554074748,12.770000457763672,10.140000343322754,2710524609474818e-41,11288623902565773e-41,1
1980-11-01,6.624562887915277,-2.965437264672612,12.649999618530273,9.59000015258789,7330827914576699e-41,38947576266092824e-41,1
1980-12-01,6.624562887915277,-2.2954371883786666,12.520000457763672,8.920000076293945,21343345617408863e-41,14666562596489661e-40,1
1981-01-01,6.624562887915277,-1.7654374554074754,11.829999923706055,8.390000343322754,529431372398971e-37,12781482110942032e-37,1
1981-02-01,6.624562887915277,-0.9954369976438031,11.40999984741211,7.619999885559082,1335052421043059e-36,6364500564453373e-35,1
1981-03-01,6.624562887915277,-0.15543732189307122,10.489999771118164,6.78000020980835,11296192293751018e-34,19776403326204345e-32,1
1981-04-01,6.62456288791525,0.11456265903341466,10,6.510000228881836,3430765120758938e-32,11010349850087357e-30,0.9999999999999891
1981-05-01,6.624562887915115,-0.055436940423508635,9.779999732971191,6.679999828338623,1529379623835083e-31,6335450188181296e-29,0.9999999999999367
1981-06-01,6.624562887914281,-0.4354370548652606,9.550000190734863,7.059999942779541,7122310479420641e-31,38100848660569164e-29,0.9999999999996184
1981-07-01,6.624562887915277,0.18456283069481982,10.760000228881836,6.440000057220459,1635644091360578e-34,20022810279318568e-33,1
1981-08-01,6.624562887915277,0.7745629832827104,10.800000190734863,5.849999904632568,12245369228955257e-35,14194038551610538e-33,1
1981-09-01,6.624562887915277,1.5845629260622516,10.949999809265137,5.039999961853027,410499569127139e-34,386280955918859e-32,1
1981-10-01,6.62456288791527,1.4845630214296741,10.140000343322754,5.139999866485596,13093791332426696e-33,3553112998379657e-30,0.9999999999999966
1981-11-01,6.6245628879145455,2.0345627353266567,9.59000015258789,4.590000152587891,545994361995234e-30,2796106646513487e-28,0.9999999999997201
1981-12-01,6.624562887800002,2.794562964093947,8.920000076293945,3.8299999237060547,42653821983789905e-30,43030132281394964e-27,0.9999999999569275
1982-01-01,6.624562882952085,2.914562844805112,8.390000343322754,3.7100000381469727,11701247726754569e-28,18273824703906881e-25,0.9999999981714475
1982-02-01,6.624562129991027,3.1345621204542833,7.619999885559082,3.490000009536743,11660080648526432e-26,2755616095819267e-22,0.9999997243217897
1982-03-01,6.624471568614338,3.0244716639817693,6.78000020980835,3.5999999046325684,1295508372719204e-23,3296257847928993e-20,0.999967024466437
1982-04-01,6.624204051027627,2.7242039556601942,6.510000228881836,3.9000000953674316,5443517944901168e-23,0.0001293405492737645,0.9998706050155468
1982-05-01,6.624408709903003,3.0744087575867183,6.679999828338623,3.549999952316284,22166539717019605e-24,556251082360422e-19,0.9999443527252243
1982-06-01,6.624542625820411,4.044542702114357,7.059999942779541,2.5799999237060547,28036319731944392e-25,7328024035300188e-21,0.999992669172333
1982-07-01,6.624059674500243,4.16405963635327,6.440000057220459,2.4600000381469727,7842234271452414e-23,0.00018131628763417415,0.9998186052900232
1982-08-01,6.617674924468825,4.057674981689284,5.849999904632568,2.559999942779541,1507355323055075e-21,0.002475979029854266,0.9975225136148227
1982-09-01,6.506690894248852,3.6466909991530265,5.039999961853027,2.859999895095825,5714816592209584e-20,0.04211133063338567,0.9578315212006923
1982-10-01,6.42628825632953,3.5762883516969612,5.139999866485596,2.8499999046325684,4294703661423801e-20,0.07062127578199594,0.9293357771813899
1982-11-01,5.788937985539366,2.5189380046128527,4.590000152587891,3.2699999809265137,0.00032508448240212173,0.2908652014510796,0.7088097140665184
1982-12-01,4.207000275932738,0.41700031407971,3.8299999237060547,3.7899999618530273,0.0020371842894294436,0.8094203905811228,0.18854242512944774
1983-01-01,3.681198770992039,-0.5088012862284206,3.7100000381469727,4.190000057220459,0.002164880314336282,0.9766835526423998,0.021151567043263833
1983-02-01,3.620854936938679,-0.9791449676938897,3.490000009536743,4.599999904632568,0.003417228070690223,0.9943628629926369,0.0022199089366730556
1983-03-01,3.6175402213992447,-1.1824599693356186,3.5999999046325684,4.800000190734863,0.00274922946756066,0.9963278317113242,0.0009229388211152819
1983-04-01,3.619381184750215,-0.940618758029327,3.9000000953674316,4.559999942779541,0.0014023600263989534,0.9975068661607588,0.0010907738128423255
1983-05-01,3.6170441424107027,-0.6129558766627838,3.549999952316284,4.230000019073486,0.0028883963350228342,0.9963057547197179,0.0008058489452594994
1983-06-01,3.5827120977627716,-0.6372876924288791,2.5799999237060547,4.21999979019165,0.03650495157545107,0.962573674375975,0.0009213740485737816
1983-07-01,3.5178330056322302,-0.6821668036329066,2.4600000381469727,4.199999809265137,0.0991533073758079,0.8998414200228494,0.0010052726013427711
1983-08-01,3.4696834578866356,-0.820316503966392,2.559999942779541,4.289999961853027,0.14459520810329754,0.8545239789591561,0.0008808129375465327
1983-09-01,3.517527632802501,-0.7524723481240132,2.859999895095825,4.269999980926514,0.09826462998420685,0.900988662335476,0.000746707680317002
1983-10-01,3.5425506880941846,-0.7174495407876518,2.8499999046325684,4.260000228881836,0.07416113492302709,0.9250956741079261,0.0007431909690467823
1983-11-01,3.5963098077766134,-0.4536903829582505,3.2699999809265137,4.050000190734863,0.022466505201687238,0.976817827570239,0.0007156672280738683
1983-12-01,3.6170801054775423,-0.33291994220617305,3.7899999618530273,3.950000047683716,0.0032165869410938036,0.995827578206419,0.0009558348524873669
1984-01-01,3.6215526737045702,0.09155270231479937,4.190000057220459,3.5299999713897705,0.0008181013162504048,0.9975337725676886,0.0016481261160612045
1984-02-01,3.6285959213896946,0.10859594046318057,4.599999904632568,3.5199999809265137,0.00036642400860565033,0.9956463908744809,0.003987185116913559
